name,username,organization,gender,job
Abou-Shahadeh,ShahadehAbou,Meshutefet,Male,Politician
Abutbul,Abutbulm,Shas,Male,Politician
Avidar,avidareli,Israel_Beytenu,Male,Politician
Edelstein,YuliEdelstein,Likud,Male,Politician
Elharrar,KElharrar,Yesh_Atid,Female,Politician
Alkhrumi,saeedalkhrumi,Meshutefet,Male,Politician
Elkin,zeev_elkin,Likud,Male,Politician
Amsalem,dudiamsalem,Likud,Male,Politician
Akunis,OfirAkunis,Likud,Male,Politician
Ashkenazi,Gabi_Ashkenazi,Kachol_Lavan,Male,Politician
Busso,BussoUriel,Shas,Male,Politician
Bitan,davidbitan,Likud,Male,Politician
Bennett,naftalibennett,Yamina,Male,Politician
Barbivay,OrnaBarb,Yesh_Atid,Female,Politician
Barak,KerenBarak,Likud,Female,Politician
Barkat,NirBarkat,Likud,Male,Politician
Golan_Yair,YairGolan1,Meretz,Male,Politician
Golan_May,GolanMay,Likud,Female,Politician
Ginzburg,EitanGinzburg,Kachol_Lavan,Male,Politician
Gallant,yoavgallant,Likud,Male,Politician
Gamliel,GilaGamliel,Likud,Female,Politician
Gantz,gantzbe,Kachol_Lavan,Male,Politician
Dayan,DayanUzi,Likud,Male,Politician
Dichter,avidichter,Likud,Male,Politician
Hauser,ZviHauser,Derech_Eretz,Male,Politician
Horowitz,NitzanHorowitz,Meretz,Male,Politician
Halevi,HaleviAmit,Likud,Male,Politician
Hanegbi,Tzachi_Hanegbi,Likud,Male,Politician
Hendel,YoazHendel1,Derech_Eretz,Male,Politician
Haskel,SharrenHaskel,Likud,Female,Politician
Cotler-Wunsh,CotlerWunsh,Kachol_Lavan,Female,Politician
Zohar,zoharm7,Likud,Male,Politician
Zamir,asafzamir,Kachol_Lavan,Male,Politician
Zandberg,tamarzandberg,Meretz,Female,Politician
Khatib-Yassin,khatib_eman,Meshutefet,Female,Politician
Haimovich,mikihaimovich1,Kachol_Lavan,Female,Politician
Toporovsky,BToporovsky,Yesh_Atid,Male,Politician
Tibi,Ahmad_tibi,Meshutefet,Male,Politician
Taieb,yossitaieb,Shas,Male,Politician
Yevarkan,GYevarkan,Likud,Male,Politician
Yankelevitch,omeryankelevitc,Kachol_Lavan,Female,Politician
Yaalon,bogie_yaalon,Yesh_Atid,Male,Politician
Cohen_Eli,elicoh1,Likud,Male,Politician
Cohen_Meir,MKmeircohen,Yesh_Atid,Male,Politician
Cohen_Meirav,cohen_meirav,Kachol_Lavan,Female,Politician
Kahana,MatanKahana,Yamina,Male,Politician
Kamal-Mreeh,GadeerMreeh,Yesh_Atid,Female,Politician
Cassif,ofercass,Meshutefet,Male,Politician
Katz_Ofir,OfirKatzMK,Likud,Male,Politician
Katz_Israel,Israel_katz,Likud,Male,Politician
Lahav-Hertzanu,YoraiLahav,Yesh_Atid,Male,Politician
Levy,MKMickeyLevy,Yesh_Atid,Male,Politician
Levy-Abekasis,Orly_levy,Gesher,Female,Politician
Liberman,AvigdorLiberman,Israel_Beytenu,Male,Politician
Lapid,yairlapid,Yesh_Atid,Male,Politician
Mark,OsnathilaMark,Likud,Female,Politician
Mulla,FateenMulla,Likud,Male,Politician
Michaeli,MeravMichaeli,Avoda,Female,Politician
Malinovsky,YuliaMalinovsky,Israel_Beytenu,Female,Politician
Malkieli,malkielim82,Shas,Male,Politician
Margi,yakmargi,Shas,Male,Politician
Nissenkorn,AviNissenkorn,Kachol_Lavan,Male,Politician
Netanyahu,netanyahu,Likud,Male,Politician
Segalovitz,YSegalovitz,Yesh_Atid,Male,Politician
Sova,evgenysova,Israel_Beytenu,Male,Politician
Sofer,ofir_sofer,Yamina,Male,Politician
Smotrich,bezalelsm,Yamina,Male,Politician
Saar,gidonsaar,Likud,Male,Politician
Abbas,mnsorabbas,Meshutefet,Male,Politician
Odeh,AyOdeh,Meshutefet,Male,Politician
Hava-Atia,ettyatia,Likud,Female,Politician
Forer,oded_forer,Israel_Beytenu,Male,Politician
Ploskov,TaliPloskov,Likud,Female,Politician
Froman,mkorlyfroman,Yesh_Atid,Female,Politician
Friedman,TehilaFriedman,Kachol_Lavan,Female,Politician
Peretz_Amir,amirperetz,Avoda,Male,Politician
Peretz_Rafi,realrafiperets,Bait_Yehudi,Male,Politician
Kushnir,kushnir_al,Israel_Beytenu,Male,Politician
Kisch,YoavKisch,Likud,Male,Politician
Kallner,ArielKallner,Likud,Male,Politician
Karhi,shlomo_karhi,Likud,Male,Politician
Regev,regev_miri,Likud,Female,Politician
Roll,idanroll,Yesh_Atid,Male,Politician
Razvozov,YRazvozov,Yesh_Atid,Male,Politician
Shasha-Biton,sbyifat,Likud,Female,Politician
Shihadeh,MtanesShihadeh,Meshutefet,Male,Politician
Steinitz,steinitz_yuval,Likud,Male,Politician
Shitrit,shitrit_keti,Likud,Female,Politician
Stern,Elazar_stern,Yesh_Atid,Male,Politician
Shay-Vazan,HVazan,Kachol_Lavan,Female,Politician
Shir,MichalShir,Likud,Female,Politician
Shelah,OferShelah,Yesh_Atid,Male,Politician
Shmuli,ishmuli,Avoda,Male,Politician
Shefa,ramshefa,Kachol_Lavan,Male,Politician
Shaked,Ayelet__Shaked,Yamina,Female,Politician
Touma-Sliman,AidaTuma,Meshutefet,Female,Politician
Tamano-Shata,pnina_tamano_sh,Kachol_Lavan,Female,Politician
